"Dairiten_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","DaihyoDairi_CD","Dairiten_NG","Blockdairi_CD","IchijiDairi_CD","SalsTokei_KBN","SitnDirtn_FLG","DaiSeisak_KBN","PrintI_CTL","PrintYK_CTL","Keikakutani_FLG","DairitenKenkei_KBN","RyutuBuin_CD","Kurini_FLG"
"10889","01/01/2000 00:00:00","12/31/9999 00:00:00","0","ecl04742","03/29/2018 18:50:00","803001","ecl04742","03/29/2018 18:50:00","803001","","群馬の代理店","","","","","3","","","","","","0"
"11004","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg39895","09/16/2025 14:59:14","PVU_EX_1400","itg39895","09/16/2025 14:59:14","PVU_EX_1400","23048","（株）スズケン埼玉営業部","13163","","1","1","1","224","","1","","ecl06189","1"
"11008","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg39895","09/16/2025 14:12:09","PVU_EX_1400","itg39895","09/16/2025 14:12:09","PVU_EX_1400","13015","東邦薬品（株）埼玉営業部","","","1","3","1","226","","1","","ecl06189","1"
"11009","04/01/2026 00:00:00","12/31/9999 00:00:00","0","itg37786","02/17/2026 16:28:13","PVU_EX_1400","itg37786","02/17/2026 16:28:13","PVU_EX_1400","13148","アルフレッサ首都圏","","","1","1","1","223","","5","","ecl06189","1"
"11022","12/01/2013 00:00:00","12/31/9999 00:00:00","0","ecl04321","03/29/2018 18:50:00","803001","ecl04321","03/29/2018 18:50:00","803001","23017","シーエス薬品（株）北関東営","","","3","","3","","","","","","0"
"11024","04/15/2020 00:00:00","12/31/9999 00:00:00","0","itg40916","02/08/2019 09:38:30","PVU_EX_1400","itg40916","02/08/2019 09:38:30","PVU_EX_1400","11024","（株）カクサン","11024","","1","1","1","229","","","","","1"
"11026","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg46273","09/16/2025 13:55:20","PVU_EX_1400","itg46273","09/16/2025 13:55:20","PVU_EX_1400","13159","メディセオ埼玉統括営業部","13160","","1","1","3","222","","1","","ecl06189","1"
"11111","01/01/2013 00:00:00","12/31/9999 00:00:00","0","ips00015","03/29/2018 18:50:00","803001","ips00015","03/29/2018 18:50:00","803001","11111","実績振替用","","","","","3","","","","","","0"
"11887","08/29/2016 00:00:00","12/31/9999 00:00:00","0","ITSP","03/30/2018 00:00:00","ENW","ITSP","03/30/2018 00:00:00","ENW","","アイン一括購入","","","","","3","","","","","","0"
"11888","01/01/2000 00:00:00","12/31/9999 00:00:00","0","ecl04742","03/29/2018 18:50:00","803001","ecl04742","03/29/2018 18:50:00","803001","","埼玉の代理店","","","","","3","","","","","","0"
"11889","01/01/2000 00:00:00","12/31/9999 00:00:00","0","ecl04742","03/29/2018 18:50:00","803001","ecl04742","03/29/2018 18:50:00","803001","","埼玉の代理店","","","","","3","","","","","","0"
"11890","04/15/2020 00:00:00","12/31/9999 00:00:00","0","itg40916","02/08/2019 10:06:03","PVU_EX_1400","itg40916","02/08/2019 10:06:03","PVU_EX_1400","","アルフレッサＨＣ関東支社","11890","","2","2","2","","","","","","0"
"12001","04/15/2021 00:00:00","12/31/9999 00:00:00","0","itg04213","04/15/2019 11:59:52","PVU_EX_1400","itg04213","04/15/2019 11:59:52","PVU_EX_1400","12001","岩渕薬品（株）","12001","","1","3","3","210","014","1","","ecl06828","1"
"12004","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg39895","09/16/2025 14:59:47","PVU_EX_1400","itg39895","09/16/2025 14:59:47","PVU_EX_1400","23048","（株）スズケン千葉営業部","13163","","1","1","1","209","","1","","ecl06828","1"
"12008","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg39895","09/16/2025 14:12:47","PVU_EX_1400","itg39895","09/16/2025 14:12:47","PVU_EX_1400","13015","東邦薬品（株）千葉営業部","","","1","3","1","211","","1","","ecl06828","1"
