"EisaiTokuisaki_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Jikeihinmoku_EGR","Target_CD"
"2275","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2319","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2321","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2327","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2333","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2336","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2337","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2341","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2354","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2355","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2360","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2368","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2370","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2375","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2380","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2384","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2393","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
