"TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","KangoShubetsu_KBN","KangoShubetsu_CD","Meisho","Ryakusho"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C443","一般病棟Ⅰ群入院基本料４　６：１看護補助　減算","一Ⅰ入４補６減"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C461","一般病棟Ⅰ群入院基本料４　１０：１看護補助　看配","一Ⅰ入４補１０看"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C462","一般病棟Ⅰ群入院基本料４　１０：１看護補助","一Ⅰ入４補１０"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C463","一般病棟Ⅰ群入院基本料４　１０：１看護補助　減算","一Ⅰ入４補１０減"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C481","一般病棟Ⅰ群入院基本料４　１５：１看護補助　看配","一Ⅰ入４補１５看"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C482","一般病棟Ⅰ群入院基本料４　１５：１看護補助","一Ⅰ入４補１５"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C483","一般病棟Ⅰ群入院基本料４　１５：１看護補助　減算","一Ⅰ入４補１５減"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C501","一般病棟Ⅰ群入院基本料５　看配","一Ⅰ入５看"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C502","一般病棟Ⅰ群入院基本料５","一Ⅰ入５"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C503","一般病棟Ⅰ群入院基本料５　減算","一Ⅰ入５減"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C521","一般病棟Ⅰ群入院基本料５　４：１看護補助　看配","一Ⅰ入５補４看"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C522","一般病棟Ⅰ群入院基本料５　４：１看護補助","一Ⅰ入５補４"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C523","一般病棟Ⅰ群入院基本料５　４：１看護補助　減算","一Ⅰ入５補４減"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C531","一般病棟Ⅰ群入院基本料５　５：１看護補助　看配","一Ⅰ入５補５看"
"02/13/2025 00:00:00","09/08/2025 00:00:00","False","Batch","02/12/2025 18:44:12","BATCH","09/09/2025 00:00:00","PVS_XP_2059","P","F199","結核特類看護種別不明","結特不明"
"02/13/2025 00:00:00","09/08/2025 00:00:00","False","Batch","02/12/2025 18:44:12","BATCH","09/09/2025 00:00:00","PVS_XP_2059","P","F210","結核基本１類看護","結基本１"
"02/13/2025 00:00:00","09/08/2025 00:00:00","False","Batch","02/12/2025 18:44:12","BATCH","09/09/2025 00:00:00","PVS_XP_2059","P","F220","結核基本２類看護","結基本２"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C532","一般病棟Ⅰ群入院基本料５　５：１看護補助","一Ⅰ入５補５"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C533","一般病棟Ⅰ群入院基本料５　５：１看護補助　減算","一Ⅰ入５補５減"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C541","一般病棟Ⅰ群入院基本料５　６：１看護補助　看配","一Ⅰ入５補６看"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C542","一般病棟Ⅰ群入院基本料５　６：１看護補助","一Ⅰ入５補６"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C543","一般病棟Ⅰ群入院基本料５　６：１看護補助　減算","一Ⅰ入５補６減"
