"EisaiOroshi_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","KeishoMotoRecord_KEY","KeishoSakiRecord_KEY","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Oroshi_KJ","OroshiSoshikiCode_LEN","OroshiSoshikiCode_E_LEN","OroshiSoshikiCode_PTN","OroshiKaiso_PTN","DaihyoDairiten_CD","JD_NET_FLG","PLANET_FLG","KobetsuNET_FLG","Medicode_FLG","Kain_ID_Prefix","NnskCyofuku_LVL"
"66","08/27/2016 00:00:00","12/31/9999 00:00:00","0","0","0","ips00023","08/26/2016 16:29:52","IPSPATCH","ips00023","08/26/2016 16:29:52","IPSPATCH","アイン一括購入","3","3","123","3","11887","0","0","0","0","MM","0"
"67","03/01/2019 00:00:00","12/31/9999 00:00:00","0","0","0","itg04213","01/20/2017 00:00:00","Tenyuryoku","itg04213","02/15/2019 00:00:00","Tenyuryoku","Ｂ２Ｂ","3","3","123","3","13193","0","0","0","0","MM","0"
"69","09/21/2017 00:00:00","12/31/9999 00:00:00","0","0","0","itg04213","09/21/2017 00:00:00","Tenyuryoku","itg04213","09/21/2017 00:00:00","Tenyuryoku","ＨＳ","3","3","123","3","13200","0","0","0","0","MM","0"
"71","04/01/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg04213","03/30/2018 00:00:00","Tenyuryoku","itg04213","03/30/2018 00:00:00","tenyuryoku","株式会社アピスライフケア","3","3","123","3","27100","0","0","0","0","MM","0"
"72","04/01/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg04213","03/30/2018 00:00:00","Tenyuryoku","itg04213","03/30/2018 00:00:00","tenyuryoku","ヘルシーフード株式会社","3","3","123","3","13214","0","0","0","0","MM","0"
"73","04/01/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg04213","03/30/2018 00:00:00","Tenyuryoku","itg04213","03/30/2018 00:00:00","tenyuryoku","株式会社小田島アクティ","6","6","123456","6","03031","0","0","0","0","MM","0"
"74","05/09/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg04213","05/09/2018 00:00:00","Tenyuryoku","itg04213","05/09/2018 00:00:00","tenyuryoku","神奈川東和薬品株式会社","3","3","123","3","14001","0","0","0","0","MM","0"
"75","05/09/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg04213","05/09/2018 00:00:00","Tenyuryoku","itg04213","05/09/2018 00:00:00","tenyuryoku","相模薬品株式会社","3","3","123","3","14002","0","0","0","0","MM","0"
"76","05/09/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg04213","05/09/2018 00:00:00","Tenyuryoku","itg04213","05/09/2018 00:00:00","tenyuryoku","株式会社東海メディエイト","3","3","123","3","23001","0","0","0","0","MM","0"
"77","05/21/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg04213","05/21/2018 00:00:00","Tenyuryoku","itg04213","05/21/2018 00:00:00","tenyuryoku","バイタルＪＤ","3","3","123","3","04003","0","0","0","0","MM","0"
"78","05/08/2019 00:00:00","12/31/9999 00:00:00","0","0","0","itg40916","05/08/2019 00:00:00","Tenyuryoku","itg40916","05/08/2019 00:00:00","Tenyuryoku","コプロ用代理店","3","3","123","3","13001","0","0","0","0","MM","0"
"79","04/25/2022 00:00:00","12/31/9999 00:00:00","0","0","0","itg04213","04/25/2022 00:00:00","Tenyuryoku","itg04213","04/25/2022 00:00:00","Tenyuryoku","ＥＡファーマの代理店","3","3","123","3","13002","0","0","0","0","MM","0"
