"corporation_cd","product_cd","start_date","end_date","locale_id","pre_product_cd","std_manufacuturing_cost","remark","delete_flag","create_user_cd","create_date","record_user_cd","record_date"
"1000","179030","04/01/2024 00:00:00","03/31/2025 00:00:00","ja","","75.800",,"0","im_job","01/26/2024 19:34:11","im_job","01/24/2025 20:09:06"
"1000","179030","04/01/2025 00:00:00","03/31/2026 00:00:00","ja","","74.800",,"0","im_job","01/24/2025 20:09:06","im_job","01/26/2026 20:13:19"
"1000","179030","04/01/2026 00:00:00","12/31/2999 00:00:00","ja","","75.800",,"0","im_job","01/26/2026 20:13:19","im_job","04/01/2026 20:02:07"
"1000","179047","09/01/2019 00:00:00","03/31/2024 00:00:00","ja","","513.600",,"0","im_job","09/26/2019 20:01:48","im_job","01/26/2024 19:34:12"
"1000","179047","04/01/2024 00:00:00","03/31/2025 00:00:00","ja","","546.600",,"0","im_job","01/26/2024 19:34:11","im_job","01/24/2025 20:09:06"
"1000","179047","04/01/2025 00:00:00","03/31/2026 00:00:00","ja","","545.600",,"0","im_job","01/24/2025 20:09:06","im_job","01/26/2026 20:13:19"
"1000","179047","04/01/2026 00:00:00","12/31/2999 00:00:00","ja","","546.600",,"0","im_job","01/26/2026 20:13:19","im_job","04/01/2026 20:02:07"
"1000","179054","09/01/2019 00:00:00","03/31/2024 00:00:00","ja","","4108.800",,"0","im_job","09/26/2019 20:01:48","im_job","01/26/2024 19:34:12"
"1000","179054","04/01/2024 00:00:00","03/31/2025 00:00:00","ja","","4141.800",,"0","im_job","01/26/2024 19:34:12","im_job","01/24/2025 20:09:06"
"1000","179054","04/01/2025 00:00:00","03/31/2026 00:00:00","ja","","4140.800",,"0","im_job","01/24/2025 20:09:06","im_job","03/19/2026 20:02:31"
"1000","179054","04/01/2026 00:00:00","12/31/2999 00:00:00","ja","","4833.000",,"0","im_job","03/19/2026 20:02:31","im_job","04/01/2026 20:02:07"
"1000","179061","09/01/2019 00:00:00","03/31/2024 00:00:00","ja","","117.900",,"0","im_job","09/26/2019 20:01:48","im_job","01/26/2024 19:34:12"
"1000","179061","04/01/2024 00:00:00","03/31/2025 00:00:00","ja","","150.900",,"0","im_job","01/26/2024 19:34:12","im_job","01/24/2025 20:09:06"
"1000","179061","04/01/2025 00:00:00","03/31/2026 00:00:00","ja","","149.900",,"0","im_job","01/24/2025 20:09:06","im_job","01/26/2026 20:13:19"
"1000","179061","04/01/2026 00:00:00","12/31/2999 00:00:00","ja","","150.900",,"0","im_job","01/26/2026 20:13:19","im_job","04/01/2026 20:02:07"
"1000","179078","09/01/2019 00:00:00","03/31/2024 00:00:00","ja","","2358.000",,"0","im_job","09/26/2019 20:01:48","im_job","01/26/2024 19:34:12"
"1000","179078","04/01/2024 00:00:00","03/31/2025 00:00:00","ja","","2391.000",,"0","im_job","01/26/2024 19:34:12","im_job","01/24/2025 20:09:06"
"1000","179078","04/01/2025 00:00:00","03/31/2026 00:00:00","ja","","2390.000",,"0","im_job","01/24/2025 20:09:06","im_job","03/19/2026 20:02:31"
"1000","179078","04/01/2026 00:00:00","12/31/2999 00:00:00","ja","","2573.000",,"0","im_job","03/19/2026 20:02:31","im_job","04/01/2026 20:02:07"
"1000","179139","11/01/2019 00:00:00","03/31/2024 00:00:00","ja","","1725.000",,"0","im_job","11/08/2019 20:01:55","im_job","01/26/2024 19:34:12"
