"TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Layout_KBN","Todofuken_CD","Shusei_KBN","Maintenance_DT","Tenso_DT","IryokenMaintenace_DT","Koji_DT","Seishin_KijunByosho","Seishin_KizonByosho","Seishin_Kizon_DT","Seishin_Kafusokusu","Kekkaku_KijunByosho","Kekkaku_KizonByosho","Kekkaku_Kizon_DT","Kekkaku_Kafusokusu","Kansen_KijunByosho","Kansen_KizonByosho","Kansen_Kizon_DT","Kansen_Kafusokusu"
"04/24/2013 00:00:00","05/29/2018 00:00:00","False","Batch","04/23/2013 18:40:27","BATCH","05/30/2018 00:00:00","PVS_XP_2060","121","46","B","20130422","20130423","20130501","20130329","8683","9812","20130101","1129","183","181","20130101","-2","44","44","20130101","0"
"05/29/2013 00:00:00","05/29/2018 00:00:00","False","Batch","05/28/2013 18:18:52","BATCH","05/30/2018 00:00:00","PVS_XP_2060","121","30","B","20130527","20130528","20130601","20130416","1850","2336","20130305","486","27","73","20130305","46","32","32","20130305","0"
"04/24/2013 00:00:00","12/24/2015 00:00:00","False","Batch","04/23/2013 18:40:27","BATCH","12/25/2015 00:00:00","PVS_XP_2060","121","45","B","20130422","20130423","20130501","20130401","5370","5844","20121231","474","26","97","20121231","71","32","30","20121231","-2"
"05/29/2013 00:00:00","05/29/2018 00:00:00","False","Batch","05/28/2013 18:18:52","BATCH","05/30/2018 00:00:00","PVS_XP_2060","121","31","B","20130527","20130528","20130601","20130416","1729","1966","20130401","237","21","34","20130401","13","12","12","20130401","0"
"11/28/2017 00:00:00","07/26/2018 00:00:00","False","Batch","11/27/2017 18:32:39","BATCH","07/27/2018 00:00:00","PVS_XP_2060","121","08","B","20171124","20171127","20171201","20130402","5770","7444","20130401","1674","60","128","20130401","68","48","48","20130401","0"
"05/29/2013 00:00:00","05/29/2018 00:00:00","False","Batch","05/28/2013 18:18:52","BATCH","05/30/2018 00:00:00","PVS_XP_2060","121","32","B","20130527","20130528","20130601","20130329","2369","2376","20130201","7","16","33","20130201","17","30","30","20130201","0"
"06/27/2013 00:00:00","05/29/2018 00:00:00","False","Batch","06/26/2013 19:13:16","BATCH","05/30/2018 00:00:00","PVS_XP_2060","121","35","B","20130625","20130626","20130701","20130531","5848","6068","20121201","220","37","60","20121201","23","40","40","20121201","0"
"12/26/2013 00:00:00","05/29/2018 00:00:00","False","Batch","12/25/2013 18:19:54","BATCH","05/30/2018 00:00:00","PVS_XP_2060","121","03","B","20131224","20131225","20140101","20130329","4420","4454","20120930","34","30","137","20120930","107","40","40","20120930","0"
"02/18/2013 00:00:00","06/26/2013 00:00:00","False","Batch","02/16/2013 06:07:21","BATCH","06/27/2013 00:00:00","PVS_XP_2060","121","35","A","20130215","20130218","20100101","20080527","5827","6190","20051201","363","46","169","20051201","123","40","40","20051201","0"
"03/26/2014 00:00:00","05/29/2018 00:00:00","False","Batch","03/25/2014 18:45:38","BATCH","05/30/2018 00:00:00","PVS_XP_2060","121","09","B","20140324","20140325","20140401","20130329","4779","5224","20121201","445","65","115","20121201","50","32","26","20121201","-6"
"04/24/2013 00:00:00","03/25/2014 00:00:00","False","Batch","04/23/2013 18:40:27","BATCH","03/26/2014 00:00:00","PVS_XP_2060","121","09","B","20130422","20130423","20130501","20130329","4779","5224","20121201","445","65","115","20121201","50","32","26","20121201","-6"
"09/29/2015 00:00:00","05/29/2018 00:00:00","False","Batch","09/28/2015 18:33:28","BATCH","05/30/2018 00:00:00","PVS_XP_2060","121","10","B","20150925","20150928","20151001","20150331","4363","5170","20150331","807","55","69","20150331","14","52","48","20150331","-4"
"09/29/2015 00:00:00","05/29/2018 00:00:00","False","Batch","09/28/2015 18:33:28","BATCH","05/30/2018 00:00:00","PVS_XP_2060","121","22","B","20150925","20150928","20151001","20150331","6128","6871","20150131","743","103","118","20150131","15","48","48","20150131","0"
"09/29/2015 00:00:00","05/29/2018 00:00:00","False","Batch","09/28/2015 18:33:28","BATCH","05/30/2018 00:00:00","PVS_XP_2060","121","34","B","20150925","20150928","20151001","20130401","8174","8984","20130321","810","85","155","20130321","70","36","24","20130321","-12"
"09/29/2015 00:00:00","05/25/2016 00:00:00","False","Batch","09/28/2015 18:33:28","BATCH","05/26/2016 00:00:00","PVS_XP_2060","121","23","B","20150925","20150928","20151001","20130329","12554","13031","20120930","477","218","256","20120930","38","74","70","20120930","-4"
"09/29/2015 00:00:00","05/25/2016 00:00:00","False","Batch","09/28/2015 18:33:28","BATCH","05/26/2016 00:00:00","PVS_XP_2060","121","28","B","20150925","20150928","20151001","20130401","10938","11411","20121001","473","178","211","20121001","33","58","54","20121001","-4"
"12/25/2015 00:00:00","05/29/2018 00:00:00","False","Batch","12/24/2015 18:18:15","BATCH","05/30/2018 00:00:00","PVS_XP_2060","121","05","B","20151222","20151224","20160101","20130329","3839","4152","20120331","313","38","58","20120331","20","36","30","20120331","-6"
"12/25/2015 00:00:00","05/29/2018 00:00:00","False","Batch","12/24/2015 18:18:15","BATCH","05/30/2018 00:00:00","PVS_XP_2060","121","40","B","20151222","20151224","20160101","20130329","18469","21436","20120801","2967","191","312","20120801","121","66","56","20120801","-10"
"04/24/2013 00:00:00","05/25/2017 00:00:00","False","Batch","04/23/2013 18:40:27","BATCH","05/26/2017 00:00:00","PVS_XP_2060","121","47","B","20130422","20130423","20130501","20130401","5201","5430","20130401","229","39","71","20130401","32","26","24","20130401","-2"
