"EisaiOroshiSoshiki_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","KeishoMotoRecord_KEY","KeishoSakiRecord_KEY","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","OroshiSoshikiCode_ECONV","EisaiShishoka_ID","Data_Status"
"72","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/09/2025 11:24:37","PVU_XP_1302","3501","598","0"
"73","01/18/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","01/09/2018 09:28:32","PVU-1030","itg39895","10/09/2025 11:24:37","PVU_XP_1302","3502","598","0"
"74","01/18/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","01/09/2018 09:28:32","PVU-1030","itg39895","10/09/2025 11:24:37","PVU_XP_1302","3509","598","0"
"75","11/29/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","","0","0"
"76","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/09/2025 11:24:37","PVU_XP_1302","4010","581","0"
"77","01/18/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","01/09/2018 09:28:32","PVU-1030","itg39895","10/09/2025 11:24:37","PVU_XP_1302","4019","581","0"
"78","11/29/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","","0","0"
"79","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/09/2025 11:24:37","PVU_XP_1302","4020","582","0"
"80","01/18/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","01/09/2018 09:28:32","PVU-1030","itg39895","10/09/2025 11:24:37","PVU_XP_1302","4029","582","0"
"81","11/29/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","04/10/2023 14:42:28","PVU_XP_1102","","0","0"
"82","04/13/2023 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/09/2025 11:24:37","PVU_XP_1302","4031","581","0"
"83","04/13/2023 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","01/09/2018 09:28:32","PVU-1030","itg39895","10/09/2025 11:24:37","PVU_XP_1302","4032","581","0"
"84","04/13/2023 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","01/09/2018 09:28:32","PVU-1030","itg39895","10/09/2025 11:24:37","PVU_XP_1302","4039","581","0"
"85","01/09/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/09/2014 16:52:48","PVU-1010","itg34676","01/09/2014 16:52:48","PVU-1010","407","0","0"
"86","01/18/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","01/09/2018 09:28:32","PVU-1030","itg39895","10/09/2025 11:24:37","PVU_XP_1302","407X","495","0"
"87","11/29/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","","0","0"
"88","01/18/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","01/09/2018 09:28:32","PVU-1030","itg39895","10/09/2025 11:24:37","PVU_XP_1302","4601","573","0"
"89","01/18/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","01/09/2018 09:28:32","PVU-1030","itg39895","10/09/2025 11:24:37","PVU_XP_1302","4602","573","0"
"90","01/18/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","01/09/2018 09:28:32","PVU-1030","itg39895","10/09/2025 11:24:37","PVU_XP_1302","4609","573","0"
"91","01/09/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/09/2014 16:52:48","PVU-1010","itg34676","01/09/2014 16:52:48","PVU-1010","470","0","0"
"92","01/07/2019 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/09/2014 16:52:48","PVU-1010","itg39895","10/09/2025 11:24:37","PVU_XP_1302","470X","3003618","0"
"93","11/29/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","","0","0"
"94","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/09/2025 11:24:37","PVU_XP_1302","4801","606","0"
"95","01/18/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","01/09/2018 09:28:32","PVU-1030","itg39895","10/09/2025 11:24:37","PVU_XP_1302","4802","606","0"
"96","01/18/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","01/09/2018 09:28:32","PVU-1030","itg39895","10/09/2025 11:24:37","PVU_XP_1302","4809","606","0"
"97","01/20/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:56:30","PVU-1010","itg45886","02/10/2026 14:33:24","PVU_XP_1302","02","3000048","0"
"98","01/20/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:56:30","PVU-1010","itg45886","02/10/2026 14:33:24","PVU_XP_1302","04","3000049","0"
"99","01/20/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:56:30","PVU-1010","itg45886","02/10/2026 14:33:24","PVU_XP_1302","05","3000050","0"
"100","01/20/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:56:30","PVU-1010","itg45886","02/10/2026 14:33:24","PVU_XP_1302","06","3000051","0"
"101","01/20/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:56:30","PVU-1010","itg45886","02/10/2026 14:33:24","PVU_XP_1302","08","3000052","0"
"102","01/20/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:56:30","PVU-1010","itg45886","02/10/2026 14:33:24","PVU_XP_1302","09","3000053","0"
