"corporation_cd","policy_div","start_date","end_date","locale_id","policy_div_name","remark","delete_flag","create_user_cd","create_date","record_user_cd","record_date"
"1000","0408","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","ＧＥ品","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0408","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","ＧＥ品","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0409","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","食品化学　値引品","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0409","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","食品化学　値引品","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0410","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","受託ＳＦＬ","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0410","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","受託ＳＦＬ","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0411","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","受託ＭｅｉｊｉＳｅｉｋａ","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0411","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","受託ＭｅｉｊｉＳｅｉｋａ","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0412","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","受託その他","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0412","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","受託その他","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0413","04/01/2024 00:00:00","12/31/2999 00:00:00","ja","ＡＰＩ－ＥＩＬ","","0","ecl97223","10/16/2024 00:00:00","ecl97223","10/16/2024 00:00:00"
"1000","0414","04/01/2024 00:00:00","12/31/2999 00:00:00","ja","ＡＰＩ－ＥＣＬ","","0","ecl97223","10/16/2024 00:00:00","ecl97223","10/16/2024 00:00:00"
"1000","0415","04/01/2024 00:00:00","12/31/2999 00:00:00","ja","ＡＰＩ－Ｍｅｄｉａｔｅｄ","","0","ecl97223","10/16/2024 00:00:00","ecl97223","10/16/2024 00:00:00"
"1000","0601","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","受託薬ＯＥＭ","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0601","04/01/2018 00:00:00","03/31/2024 00:00:00","ja","受託薬ＯＥＭ","","0","ecl07857","12/01/2017 00:00:00","ecl97490","09/15/2023 00:00:00"
"1000","0601","04/01/2024 00:00:00","12/31/2999 00:00:00","ja","医家品　空き","","0","ecl07857","12/01/2017 00:00:00","ecl97490","09/20/2023 00:00:00"
"1000","0603","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","ＥＡ品","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0603","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","ＥＡ品","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
