"cdgroup_cd","locale_id","cdgroup_name","notes","delete_flag","create_user_cd","create_date","record_user_cd","record_date"
"MDM-999-10400023","ja","倉庫コード",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-999-10400024","ja","管理No品フラグ",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-999-10400025","ja","管理区分",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-999-10400026","ja","向精神薬分類",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-999-10400027","ja","流通荷姿区分",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-999-10400028","ja","輸出製品区分",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-999-10400029","ja","統一コード",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-999-10400030","ja","コードブックアウトフラグ",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-999-10400033","ja","数量表示単位",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-999-10400034","ja","品目分類",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-999-10400035","ja","消費税率区分",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-999-10400038","ja","商品分類コード",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-999-10400039","ja","加工区分",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-999-10400040","ja","特約扱品区分",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-999-10400041","ja","販路委託対象フラグ",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-999-10400042","ja","生物由来フラグ",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-999-10400043","ja","集合ITF上１桁コード",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-999-10400044","ja","梱包ITF上１桁コード",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-999-10400045","ja","振替品区分",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-999-10400046","ja","薬粧販路区分",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-999-10400047","ja","出荷期限判定区分（廃止予定）",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-999-10400048","ja","伝票分割区分",,"0","ips00039","02/14/2020 00:00:00","ips00039","02/14/2020 00:00:00"
"MDM-999-10400049","ja","元梱切上フラグ",,"0","ips00039","02/14/2020 00:00:00","ips00039","02/14/2020 00:00:00"
"MDM-999-10400050","ja","詰合フラグ",,"0","ips00039","02/14/2020 00:00:00","ips00039","02/14/2020 00:00:00"
"MDM-999-10400051","ja","小数仕切価設定フラグ",,"0","ips00039","02/14/2020 00:00:00","ips00039","02/14/2020 00:00:00"
"MDM-999-10400052","ja","元梱率除外製品フラグ",,"0","ips00039","02/14/2020 00:00:00","ips00039","02/14/2020 00:00:00"
"MDM-999-10500001","ja","会社グループ",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-999-10500002","ja","主管組織",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-999-10600003","ja","回収形態区分",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-999-10600004","ja","取扱金種区分",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-999-10600005","ja","NON POLICY区分",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-999-10600006","ja","統計国コード",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-999-10600007","ja","取引銀行コード",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-999-10600008","ja","決済条件コード",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-999-10600009","ja","船積方法コード",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-999-10600010","ja","建値コード",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-999-10600011","ja","通貨コード",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-999-10600012","ja","国内納め区分",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-999-10600013","ja","連結対象区分",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-999-10600015","ja","仕向地コード",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
