"TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Layout_KBN","Record_ID","Shisetsu_CD","Shisetsu_CD_Yobi","Shusei_KBN","TankiTaizai_CD","AddDelete_KBN","Maintenance_DT","Tenso_DT"
"02/18/2013 00:00:00","03/29/2020 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","03/30/2020 00:00:00","PVS_XP_2056","135","00","4700322","","A","201","2","20130215","20130218"
"02/18/2013 00:00:00","11/23/2020 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","11/24/2020 00:00:00","PVS_XP_2056","135","00","5302492","","A","101","2","20130215","20130218"
"12/01/2012 00:00:00","12/31/9999 00:00:00","False","Batch","01/10/2013 09:43:14","BATCH","01/11/2013 00:00:00","PVS_XP_2056","135","00","8301114","","A","106","2","20130110","20130110"
"12/01/2012 00:00:00","12/31/9999 00:00:00","False","Batch","01/10/2013 09:43:14","BATCH","01/11/2013 00:00:00","PVS_XP_2056","135","00","8301114","","A","109","2","20130110","20130110"
"12/01/2012 00:00:00","12/31/9999 00:00:00","False","Batch","01/10/2013 09:43:14","BATCH","01/11/2013 00:00:00","PVS_XP_2056","135","00","8301114","","A","206","2","20130110","20130110"
"12/01/2012 00:00:00","12/31/9999 00:00:00","False","Batch","01/10/2013 09:43:14","BATCH","01/11/2013 00:00:00","PVS_XP_2056","135","00","8301114","","A","210","2","20130110","20130110"
"02/18/2013 00:00:00","11/23/2020 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","11/24/2020 00:00:00","PVS_XP_2056","135","00","5302492","","A","110","2","20130215","20130218"
"02/18/2013 00:00:00","11/23/2020 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","11/24/2020 00:00:00","PVS_XP_2056","135","00","5302492","","A","111","2","20130215","20130218"
"12/01/2012 00:00:00","12/31/9999 00:00:00","False","Batch","01/10/2013 09:43:14","BATCH","01/11/2013 00:00:00","PVS_XP_2056","135","00","8301147","","A","101","2","20130110","20130110"
"02/18/2013 00:00:00","11/23/2020 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","11/24/2020 00:00:00","PVS_XP_2056","135","00","5302497","","A","101","2","20130215","20130218"
"02/18/2013 00:00:00","11/23/2020 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","11/24/2020 00:00:00","PVS_XP_2056","135","00","5302497","","A","106","2","20130215","20130218"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","02/18/2013 00:00:00","PVS_XP_2056","135","00","7400025","","A","105","2","20130215","20130218"
"02/18/2013 00:00:00","11/23/2020 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","11/24/2020 00:00:00","PVS_XP_2056","135","00","5302497","","A","110","2","20130215","20130218"
"02/18/2013 00:00:00","11/23/2020 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","11/24/2020 00:00:00","PVS_XP_2056","135","00","5302497","","A","111","2","20130215","20130218"
"02/18/2013 00:00:00","11/23/2020 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","11/24/2020 00:00:00","PVS_XP_2056","135","00","5302497","","A","206","2","20130215","20130218"
"02/18/2013 00:00:00","11/23/2020 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","11/24/2020 00:00:00","PVS_XP_2056","135","00","5302497","","A","208","2","20130215","20130218"
"02/19/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/18/2013 19:36:11","BATCH","02/19/2013 00:00:00","PVS_XP_2056","135","00","3100249","","B","104","1","20130215","20130218"
"02/19/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/18/2013 19:36:11","BATCH","02/19/2013 00:00:00","PVS_XP_2056","135","00","3100270","","B","110","2","20130215","20130218"
"02/19/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/18/2013 19:36:11","BATCH","02/19/2013 00:00:00","PVS_XP_2056","135","00","3100270","","B","111","2","20130215","20130218"
"02/19/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/18/2013 19:36:11","BATCH","02/19/2013 00:00:00","PVS_XP_2056","135","00","3100415","","B","101","2","20130215","20130218"
"02/19/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/18/2013 19:36:11","BATCH","02/19/2013 00:00:00","PVS_XP_2056","135","00","3100415","","B","104","2","20130215","20130218"
"02/19/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/18/2013 19:36:11","BATCH","02/19/2013 00:00:00","PVS_XP_2056","135","00","3100415","","B","105","2","20130215","20130218"
"02/21/2013 00:00:00","04/13/2016 00:00:00","False","Batch","02/20/2013 18:19:23","BATCH","04/14/2016 00:00:00","PVS_XP_2056","135","00","3101072","","B","203","2","20130219","20130220"
