"TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Layout_KBN","ShisetsuKBN_CD","Shusei_KBN","Maintenance_DT","Tenso_DT","Meisho"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","95","A","20130215","20130218","ＳＰＤ受託事業所"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","98","A","20130215","20130218","店舗販売業（不明）"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","99","A","20130215","20130218","種別不明"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","A1","A","20130215","20130218","助産院"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","A2","A","20130215","20130218","接骨院・整骨院"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","A3","A","20130215","20130218","鍼灸医院・指圧・マッサージ"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","A4","A","20130215","20130218","美容院・理容・エステ"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","A5","A","20130215","20130218","学校保健室"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","A9","A","20130215","20130218","その他の施術施設"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","B1","A","20130215","20130218","動物病院・家畜診療所"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","B2","A","20130215","20130218","ペットショップ"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","B4","A","20130215","20130218","競馬場の動物用診療所"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","B9","A","20130215","20130218","その他の動物関連施設"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","C0","A","20130215","20130218","コンビニ・スーパー・デパート"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","C9","A","20130215","20130218","その他の一般店舗"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","D0","A","20130215","20130218","病院の売店・レストラン"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","D1","A","20130215","20130218","給食受託院内事業所"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","D2","A","20130215","20130218","その他の業務受託院内事業所"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","D3","A","20130215","20130218","介護・育児用品店"
"02/18/2013 00:00:00","12/09/2018 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","D9","A","20130215","20130218","その他の特殊店舗"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","E0","A","20130215","20130218","ホテル・旅館・ペンション"
"02/18/2013 00:00:00","12/09/2018 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","E9","A","20130215","20130218","その他の宿泊施設"
"02/18/2013 00:00:00","12/09/2018 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","F0","A","20130215","20130218","農協・漁協・農場"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","F1","A","20130215","20130218","養豚"
