"Joi_DairitenTK_CD","DairitenTK_Kaiso_KBN","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","DairitenTokeiName_KJKC","DairitenTokeiName_KJ","DairitenTokeiName_KJR","DairitenTokeiName_KJK","DairitenTokeiName_KN","DairitenTokeiName_KNR"
"23001","PVU_K0001","05/08/2018 00:00:00","12/31/9999 00:00:00","0","itg04213","05/08/2018 15:33:39","PVU_EX_1400","itg04213","05/08/2018 15:33:39","PVU_EX_1400","株式会社東海メディエイト","株式会社東海メディエイト","東海メディエイト","東海メディ","ｶﾌﾞｼｷｶｲｼﾔﾄｳｶｲﾒﾃﾞｲｴｲﾄ","ﾄｳｶｲﾒﾃﾞｲ"
"23002","PVU_K0001","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","中北薬品（株）","中北薬品（株）","中北薬品","中北薬品","ﾅｶｷﾀ ﾔｸﾋﾝ","ﾅｶｷﾀ ﾔｸﾋﾝ"
"23002","PVU_K0003","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","中北薬品（株）","中北薬品（株）","中北薬品","中北薬品","ﾅｶｷﾀ ﾔｸﾋﾝ","ﾅｶｷﾀ ﾔｸﾋﾝ"
"23009","PVU_K0001","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","（株）スズケン名古屋営業部","（株）スズケン名古屋営業部","スズケン名古屋営業部","Ｓ・名古屋","KK ｽｽﾞｹﾝ ﾅｺﾞﾔｴｲｷﾞﾖｳﾌ","ｽｽﾞｹﾝ ﾅｺﾞﾔ"
"23009","PVU_K0004","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","Ｓ・東海ブロック","Ｓ・東海ブロック","東海ブ","東海","ｽｽﾞｹﾝﾄｳｶｲﾌﾞﾛﾂｸ","ﾄｳｶｲﾌﾞ"
"23017","PVU_K0001","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","シーエス薬品（株）","シーエス薬品（株）","シーエス薬品（株）","シーエス薬","ｼ-ｴｽ ﾔｸﾋﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ","ｼ-ｴｽﾔｸﾋﾝ"
"23017","PVU_K0003","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","シーエス薬品（株）","シーエス薬品（株）","シーエス薬品（株）","シーエス薬","ｼ-ｴｽ ﾔｸﾋﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ","ｼ-ｴｽﾔｸﾋﾝ"
"23017","PVU_K0004","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","シーエス薬品（株）","シーエス薬品（株）","シーエス薬品（株）","シーエス薬","ｼ-ｴｽ ﾔｸﾋﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ","ｼ-ｴｽﾔｸﾋﾝ"
"23047","PVU_K0002","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg46273","09/12/2025 13:24:38","PVU_EX_1400","itg46273","09/12/2025 13:24:38","PVU_EX_1400","スズケングループ","スズケングループ","スズケンＧ","スズケン","ｽｽﾞｹﾝ G","ｽｽﾞｹﾝ"
"23048","PVU_K0003","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg46273","09/12/2025 13:37:28","PVU_EX_1400","itg46273","09/12/2025 13:37:28","PVU_EX_1400","（株）スズケン","（株）スズケン","（株）スズケン","スズケン","KK ｽｽﾞｹﾝ","ｽｽﾞｹﾝ"
"23049","PVU_K0002","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","（株）スズケンＧ","（株）スズケンＧ","（株）スズケンＧ","スズケンＧ","KK ｽｽﾞｹﾝG","ｽｽﾞｹﾝG"
"23049","PVU_K0003","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","（株）スズケン","（株）スズケン","（株）スズケン","スズケン","KK ｽｽﾞｹﾝ","ｽｽﾞｹﾝ"
"23074","PVU_K0004","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","スズケン","スズケン","Ｓ","Ｓ","S","S"
"23084","PVU_K0004","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","（株）ＰＡＬＴＡＣ名古屋支社","ＰＡＬＴＡＣ名古屋支社","ＰＡＬ名古屋支社","ＰＴ名古屋","ﾊﾟﾙﾀﾂｸﾅｺﾞﾔ","ﾊﾟﾙﾅｺﾞﾔﾞ"
"23100","PVU_K0004","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","中部支社","中部支社","中部支社","中部","ﾁﾕｳﾌﾞｼｼﾔ","ﾁﾕｳﾌﾞｼｼﾔ"
"23525","PVU_K0004","01/01/2000 00:00:00","01/13/2021 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","（株）井田両国堂　名古屋","（株）井田両国堂　名古屋","井田名古屋","井田名古屋","KK ｲﾀﾞﾘﾖｳｺﾞｸﾄﾞｳ","ｲﾀﾞﾅｺﾞﾔ"
