"KakuCorp_ID","KakuTantosha_CD","Tantosha_KBN","Corp_ID","Tantosha_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Tanto_SEQ","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Shinseisha_ID","Shinsei_DT"
"ECL","71156","PVS_T0008","ECL","09135","12/01/2012 00:00:00","03/31/2013 00:00:00","False","3","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71157","PVS_T0008","ECL","08099","12/01/2012 00:00:00","03/31/2013 00:00:00","False","1","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71157","PVS_T0008","ECL","09055","12/01/2012 00:00:00","03/31/2013 00:00:00","False","2","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71158","PVS_T0008","ECL","06298","12/01/2012 00:00:00","03/31/2013 00:00:00","False","1","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71158","PVS_T0008","ECL","09259","12/01/2012 00:00:00","03/31/2013 00:00:00","False","2","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71191","PVS_T0008","ECL","07644","12/01/2012 00:00:00","03/31/2013 00:00:00","False","1","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71191","PVS_T0008","ECL","08208","12/01/2012 00:00:00","03/31/2013 00:00:00","False","2","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71191","PVS_T0008","ECL","09129","12/01/2012 00:00:00","03/31/2013 00:00:00","False","3","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71198","PVS_T0008","ECL","07546","12/01/2012 00:00:00","03/31/2013 00:00:00","False","1","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71198","PVS_T0008","ECL","08711","12/01/2012 00:00:00","03/31/2013 00:00:00","False","2","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
